job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
1365,https://job-boards.greenhouse.io/appier/jobs/7159419,"AI Investment Partner (Sr Director), Taiwan",other,other,other,other,management,title_still_other_after_canonicalization,,
254,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,Technical Support Eng- MM/CMRL,it_support_specialist,technical_support_specialist,technical_support_specialist,it_operations,it_operations,gold_vs_pred_title_mismatch,,
508,https://job-boards.greenhouse.io/canonical/jobs/3137607,Talent Scientist,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,,
1032,https://job-boards.greenhouse.io/webflow/jobs/7456130,Senior Brand Designer,other,other,other,other,design,title_still_other_after_canonicalization,,
445,https://job-boards.greenhouse.io/canonical/jobs/5920689,Senior Jira Administrator,other,other,other,other,other,title_still_other_after_canonicalization,,
520,https://job-boards.greenhouse.io/canonical/jobs/7606934,Treasury Analyst,other,other,other,other,,title_still_other_after_canonicalization,,
188,https://job-boards.greenhouse.io/gomotive/jobs/5476318002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,,
1101,https://job-boards.greenhouse.io/celonis/jobs/7230213003?gh_jid=7230213003,Customer Transformation Advisor,other,other,other,other,other,title_still_other_after_canonicalization,,
512,https://job-boards.greenhouse.io/canonical/jobs/4541445,Technical Manager - Automotive and Industrial,manager,manager,manager,operations,,missing_gold_role_family_with_canonical_title,,
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,,,recruiting,,gold_vs_pred_title_mismatch,,
442,https://job-boards.greenhouse.io/canonical/jobs/7528950,Senior Design Researcher - User Science,other,other,other,other,research,title_still_other_after_canonicalization,,
1047,https://job-boards.greenhouse.io/webflow/jobs/7589008,Senior Video Producer,other,other,other,other,other,title_still_other_after_canonicalization,,
1541,https://job-boards.greenhouse.io/capco/jobs/7593546,Automation test Engineer,software_engineer,backend_engineer,backend_engineer,software_engineering,software_engineering,gold_vs_pred_title_mismatch,,
962,https://job-boards.greenhouse.io/gofundme/jobs/7569676,Regulatory Affairs Analyst,other,other,other,other,other,title_still_other_after_canonicalization,,
1945,https://job-boards.greenhouse.io/capco/jobs/7613220,Solution Architect - Insurance,other,other,other,other,architecture,title_still_other_after_canonicalization,,
1955,https://job-boards.greenhouse.io/capco/jobs/7578199,System & Defect Management (She/He/They),other,other,other,other,IT Management,title_still_other_after_canonicalization,,
1745,https://job-boards.greenhouse.io/capco/jobs/7464308,Linux & Data Platform Administrator,data_analyst,data_analyst,data_analyst,data_analytics,,missing_gold_role_family_with_canonical_title,,
255,https://job-boards.greenhouse.io/gomotive/jobs/6533318002,Technical Support Specialist - Spanish,it_support_specialist,technical_support_specialist,technical_support_specialist,it_operations,it_operations,gold_vs_pred_title_mismatch,,
1128,https://job-boards.greenhouse.io/celonis/jobs/7614464003?gh_jid=7614464003,Global Events (Senior) Specialist,other,other,other,other,Marketing/Events,title_still_other_after_canonicalization,,
1220,https://job-boards.greenhouse.io/celonis/jobs/7570041003?gh_jid=7570041003,Senior Data Analytics and Supply Chain Transformation - Automotive / Manufacturing,data_analyst,consultant,consultant,data_analytics,data_analytics,gold_vs_pred_title_mismatch,,
509,https://job-boards.greenhouse.io/canonical/jobs/7214510,Talent Scientist - Graduate Lead,talent_analytics_specialist,talent_analytics_specialist,talent_analytics_specialist,hr,,missing_gold_role_family_with_canonical_title,,
1823,https://job-boards.greenhouse.io/capco/jobs/7653279,Product Owner (Agile/Scrum),other,other,other,other,product_management,title_still_other_after_canonicalization,,
