job_indexed_id,url,title_clean,gold_location_type,gold_location_city,gold_country,country_issue,qa_status,qa_fix_location_type,qa_fix_location_city,qa_fix_country,qa_notes
202,https://job-boards.greenhouse.io/gomotive/jobs/7579408002,"Regional Director, Account Management",remote,Islamabad & Lahore,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1593,https://job-boards.greenhouse.io/capco/jobs/6368594,Business Analyst/Senior Business Analyst (Banking),onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1568,https://job-boards.greenhouse.io/capco/jobs/7653230,Business Analyst Banking & Payments,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1370,https://job-boards.greenhouse.io/appier/jobs/7562958,Customer Success Manager(Enterprise),onsite,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1408,https://job-boards.greenhouse.io/appier/jobs/7525287,Senior Machine Learning Scientist - Tokyo,onsite,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
623,https://job-boards.greenhouse.io/gleanwork/jobs/4501783005,"Machine Learning Engineer, Infrastructure",hybrid,San Francisco Bay Area,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
191,https://job-boards.greenhouse.io/gomotive/jobs/8387634002,"Manager, of Customer Success Mexico",onsite,Mexico City,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
619,https://job-boards.greenhouse.io/gleanwork/jobs/4654833005,Lead Site Reliability Engineer,hybrid,Palo Alto,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1737,https://job-boards.greenhouse.io/capco/jobs/7653275,Lead Delivery Consultant,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1414,https://job-boards.greenhouse.io/appier/jobs/7382873,"Senior Software Engineer (Ad Cloud Bidding) - Tokyo,Japan",onsite,Tokyo,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1209,https://job-boards.greenhouse.io/celonis/jobs/7497259003?gh_jid=7497259003,Senior Business Transformation & Process Optimisation Consultant - Automotive / Manufacturing,hybrid,Stockholm,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1372,https://job-boards.greenhouse.io/appier/jobs/7609493,"Customer Success Manager, Vietnam",onsite,Hồ Chí Minh,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1670,https://job-boards.greenhouse.io/capco/jobs/7567592,Energy Consultant - Business Analyst,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
980,https://job-boards.greenhouse.io/gofundme/jobs/7456574,Staff Machine Learning Engineer,hybrid,Buenos Aires,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1580,https://job-boards.greenhouse.io/capco/jobs/7570364,Business Analyst (Insurance),onsite,Bangkok,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1404,https://job-boards.greenhouse.io/appier/jobs/7366768,Senior Machine Learning Scientist (Ads incrementality) - Tokyo,onsite,Tokyo,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1727,https://job-boards.greenhouse.io/capco/jobs/7557537,Junior Project Manager - (Banking),onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
724,https://job-boards.greenhouse.io/gleanwork/jobs/4627687005,Technical Recruiter (Contractor- 6 months),hybrid,Palo Alto,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1852,https://job-boards.greenhouse.io/capco/jobs/7622087,Recruitment Administrator with English language,onsite,Bratislava,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1627,https://job-boards.greenhouse.io/capco/jobs/7653536,Cybersecurity consultant,onsite,Brussels,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1400,https://job-boards.greenhouse.io/appier/jobs/7009731,"Senior Creative Strategist (UI Design) - Hybrid, Istanbul",hybrid,Istanbul,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1540,https://job-boards.greenhouse.io/capco/jobs/7645324,Automation BA - Glasgow,hybrid,Glasgow,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1436,https://job-boards.greenhouse.io/appier/jobs/7092458,Staff/Senior Machine Learning Scientist (Ad Cloud),onsite,Tokyo,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1917,https://job-boards.greenhouse.io/capco/jobs/7559563,Senior Full Stack Developer - Java Spring Boot & React.js (Thai Speaker),onsite,Bangkok,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
151,https://job-boards.greenhouse.io/gomotive/jobs/8329430002,Associate People Business Partner,hybrid,Islamabad,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
673,https://job-boards.greenhouse.io/gleanwork/jobs/4424103005,Senior/Staff Applied Scientist,hybrid,San Francisco Bay Area,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1788,https://job-boards.greenhouse.io/capco/jobs/7585730,Murex Consultant,onsite,Prague,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1377,https://job-boards.greenhouse.io/appier/jobs/7115125,"Enterprise Solution Sales, Japan",onsite,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1930,https://job-boards.greenhouse.io/capco/jobs/7590826,Senior Manager/Director - Data Lead,onsite,Riyadh;Dubai,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1634,https://job-boards.greenhouse.io/capco/jobs/5576793,Data Engineer for Banking,onsite,Prague,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
176,https://job-boards.greenhouse.io/gomotive/jobs/8382162002,Field Marketing Specialist,hybrid,Mexico City,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
993,https://job-boards.greenhouse.io/levio/jobs/8422292002,Change Management Consultant,hybrid,Ottawa,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1220,https://job-boards.greenhouse.io/celonis/jobs/7570041003?gh_jid=7570041003,Senior Data Analytics and Supply Chain Transformation - Automotive / Manufacturing,hybrid,Stockholm,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1883,https://job-boards.greenhouse.io/capco/jobs/7597716,Senior Consultant - Data Modeler,onsite,,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1310,https://job-boards.greenhouse.io/celonis/jobs/6587626003?gh_jid=6587626003,Strategic Account Executive - Manufacturing,onsite,Tokyo,US,city_country_mismatch_us_foreign_city_token,,__NO_CHANGE__,,,
1231,https://job-boards.greenhouse.io/celonis/jobs/7500467003?gh_jid=7500467003,Senior Management & Technology Consultant - Automotive / Manufacturing,onsite,Stockholm,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1567,https://job-boards.greenhouse.io/capco/jobs/7667896,Business Analyst (Banking),onsite,Bangkok,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
683,https://job-boards.greenhouse.io/gleanwork/jobs/4638008005,"Software Engineer, Context Platform",hybrid,Palo Alto,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1637,https://job-boards.greenhouse.io/capco/jobs/5576791,Data Engineer for Banking,onsite,Bratislava,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1410,https://job-boards.greenhouse.io/appier/jobs/7114724,Senior RTB Product Manager,onsite,Tokyo,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
1399,https://job-boards.greenhouse.io/appier/jobs/7430675,"SEA Sales Manager of Enterprise Solutions, Malaysia",onsite,Kuala Lumpur,,onsite_or_hybrid_without_country,,__NO_CHANGE__,,,
