job_indexed_id,url,title_clean,pred_normalized_title,gold_normalized_title_before,gold_normalized_title_after,pred_role_family,gold_role_family,queue_reason,review_decision,review_notes
1443,https://job-boards.greenhouse.io/appier/jobs/6547632,Technical Service Engineer (Greater China Region),software_engineer,other,other,software_engineering,other,title_still_other_after_canonicalization,,
1732,https://job-boards.greenhouse.io/capco/jobs/7427269,LD Ops,other,other,other,other,other,title_still_other_after_canonicalization,,
1378,https://job-boards.greenhouse.io/appier/jobs/6958296,HR Employee Experience Senior Manager / Associate Director,manager,other,other,operations,other,title_still_other_after_canonicalization,,
377,https://job-boards.greenhouse.io/canonical/jobs/6177790,MAAS Data Center Infrastructure Engineer (Toronto area),analytics_engineer,other,other,data_analytics,other,title_still_other_after_canonicalization,,
1188,https://job-boards.greenhouse.io/celonis/jobs/7547001003?gh_jid=7547001003,Procurement Manager - Marketing,marketing_specialist,other,other,marketing,other,title_still_other_after_canonicalization,,
726,https://job-boards.greenhouse.io/gleanwork/jobs/4448955005,Technical Support Engineer,it_support_specialist,other,other,it_operations,other,title_still_other_after_canonicalization,,
1125,https://job-boards.greenhouse.io/celonis/jobs/6659660003?gh_jid=6659660003,Finance Business Partner,accountant,other,other,finance,other,title_still_other_after_canonicalization,,
536,https://job-boards.greenhouse.io/canonical/jobs/6072086,UX Designer - Infrastructure,product_designer,other,other,design,design,title_still_other_after_canonicalization,,
1915,https://job-boards.greenhouse.io/capco/jobs/7456452,Senior Full Stack Developer - COM INGLÊS - Remoto,fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
1316,https://job-boards.greenhouse.io/celonis/jobs/7618766003?gh_jid=7618766003,Summernaut Program - Legal Summer Intern,legal_counsel,other,other,legal,legal,title_still_other_after_canonicalization,,
1681,https://job-boards.greenhouse.io/capco/jobs/7589865,Frontend Developer - hybrid Calgary ** numerous openings at all levels **,frontend_engineer,other,other,frontend,frontend,title_still_other_after_canonicalization,,
1104,https://job-boards.greenhouse.io/celonis/jobs/7628764003?gh_jid=7628764003,"Director, Corporate Development",corporate_development,other,other,strategy,strategy,title_still_other_after_canonicalization,,
4,https://job-boards.greenhouse.io/found/jobs/4501664005,Telehealth Provider (MD & DO),healthcare_provider,other,other,healthcare,healthcare,title_still_other_after_canonicalization,,
1552,https://job-boards.greenhouse.io/capco/jobs/4989990,Banco de Talentos - Energia,other,other,other,other,other,title_still_other_after_canonicalization,,
1023,https://job-boards.greenhouse.io/webflow/jobs/7408665,"Partner Manager, Agencies",manager,other,other,operations,other,title_still_other_after_canonicalization,,
75,https://job-boards.greenhouse.io/smartsheet/jobs/7425784,People Analytics Analyst - (Hybrid in Bangalore),data_analyst,other,other,data_analytics,other,title_still_other_after_canonicalization,,
633,https://job-boards.greenhouse.io/gleanwork/jobs/4657395005,Partner Marketing Manager,marketing_specialist,other,other,marketing,marketing,title_still_other_after_canonicalization,,
235,https://job-boards.greenhouse.io/gomotive/jobs/8403604002,Senior Technical Support Engineer,it_support_specialist,other,other,it_operations,other,title_still_other_after_canonicalization,,
218,https://job-boards.greenhouse.io/gomotive/jobs/8291209002,Senior Finance Operations Analyst,financial_analyst,other,other,finance,other,title_still_other_after_canonicalization,,
1525,https://job-boards.greenhouse.io/capco/jobs/7651013,AI Technical Architect,enterprise_architect,other,other,architecture,other,title_still_other_after_canonicalization,,
1916,https://job-boards.greenhouse.io/capco/jobs/7641216,Senior Full Stack Developer - COM INGLÊS - Remoto,fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
1709,https://job-boards.greenhouse.io/capco/jobs/7657119,Intern -Talent Acquisition - Scheduler,technical_recruiter,other,other,recruiting,other,title_still_other_after_canonicalization,,
1103,https://job-boards.greenhouse.io/celonis/jobs/6541080003?gh_jid=6541080003,"Director, Corporate Development",corporate_development,other,other,strategy,strategy,title_still_other_after_canonicalization,,
869,https://job-boards.greenhouse.io/grafanalabs/jobs/5795323004,Staff Developer Advocacy Engineer | Canada | Remote,software_engineer,other,other,software_engineering,other,title_still_other_after_canonicalization,,
1868,https://job-boards.greenhouse.io/capco/jobs/7522365,Senior BA/PM | Securities Services,other,other,other,other,other,title_still_other_after_canonicalization,,
1235,https://job-boards.greenhouse.io/celonis/jobs/6685374003?gh_jid=6685374003,"Senior Manager, Technical Accounting & Financial Reporting",manager,other,other,operations,other,title_still_other_after_canonicalization,,
1222,https://job-boards.greenhouse.io/celonis/jobs/6524475003?gh_jid=6524475003,Senior Field Marketing Manager - Public Sector,marketing_specialist,other,other,marketing,other,title_still_other_after_canonicalization,,
728,https://job-boards.greenhouse.io/gleanwork/jobs/4666849005,Technical Support Engineer (PST shift hours 9:30PM - 6:30AM IST),it_support_specialist,other,other,it_operations,it_operations,title_still_other_after_canonicalization,,
1041,https://job-boards.greenhouse.io/webflow/jobs/7658221,Senior Product Design Manager,product_designer,other,other,design,design,title_still_other_after_canonicalization,,
289,https://job-boards.greenhouse.io/canonical/jobs/6460571,"Director, Talent Science",talent_analytics_specialist,other,other,hr,other,title_still_other_after_canonicalization,,
930,https://job-boards.greenhouse.io/truebill/jobs/7641073003,"Senior Full Stack Engineer, Product",fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
713,https://job-boards.greenhouse.io/gleanwork/jobs/4659510005,Strategic Solutions Engineer - Central (Remote),software_engineer,other,other,software_engineering,other,title_still_other_after_canonicalization,,
1807,https://job-boards.greenhouse.io/capco/jobs/7594883,Principal Architect: Google Cloud (GCP),other,other,other,other,other,title_still_other_after_canonicalization,,
545,https://job-boards.greenhouse.io/gleanwork/jobs/4661912005,AI Outcomes Manager- Central,manager,other,other,operations,other,title_still_other_after_canonicalization,,
1778,https://job-boards.greenhouse.io/capco/jobs/7584269,Managing Principal - Payments,consultant,other,other,consulting,other,title_still_other_after_canonicalization,,
975,https://job-boards.greenhouse.io/gofundme/jobs/7206748,Senior Staff Data Platform Architect,data_analyst,other,other,data_analytics,other,title_still_other_after_canonicalization,,
1221,https://job-boards.greenhouse.io/celonis/jobs/7627746003?gh_jid=7627746003,Senior Field Marketing Manager - Consumer & Life Sciences Industries,marketing_specialist,other,other,marketing,marketing,title_still_other_after_canonicalization,,
1054,https://job-boards.greenhouse.io/webflow/jobs/7531244,"Technical Support Associate, EMEA (German Speaking)",it_support_specialist,other,other,it_operations,other,title_still_other_after_canonicalization,,
912,https://job-boards.greenhouse.io/correlationone/jobs/5815345004,Learning Designer,content_designer,other,other,design,other,title_still_other_after_canonicalization,,
1686,https://job-boards.greenhouse.io/capco/jobs/7548507,Full-stack Engineer - Remoto,fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
465,https://job-boards.greenhouse.io/canonical/jobs/6397940,Software Alliance Ecosystem Manager,alliance_manager,other,other,partnerships,other,title_still_other_after_canonicalization,,
1956,https://job-boards.greenhouse.io/capco/jobs/7622566,Talent Acquisition Lead,technical_recruiter,other,other,recruiting,recruiting,title_still_other_after_canonicalization,,
1555,https://job-boards.greenhouse.io/capco/jobs/7443840,Banco de Talentos - Python,other,other,other,other,other,title_still_other_after_canonicalization,,
1770,https://job-boards.greenhouse.io/capco/jobs/7534056,Managing Principal (Director) - Finance Transformation,consultant,other,other,consulting,other,title_still_other_after_canonicalization,,
1053,https://job-boards.greenhouse.io/webflow/jobs/7543012,"Technical Support Associate, Argentina",it_support_specialist,other,other,it_operations,other,title_still_other_after_canonicalization,,
913,https://job-boards.greenhouse.io/correlationone/jobs/5815347004,Learning Designer,content_designer,other,other,design,other,title_still_other_after_canonicalization,,
927,https://job-boards.greenhouse.io/truebill/jobs/7592100003,"Senior Full Stack Engineer, Compass",fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
189,https://job-boards.greenhouse.io/gomotive/jobs/5466892002,Interested in joining our team?,general_application,other,other,recruiting,other,title_still_other_after_canonicalization,,
433,https://job-boards.greenhouse.io/canonical/jobs/6924722,Sales Development Representative (Portuguese Speaker),business_development_representative,other,other,sales,sales,title_still_other_after_canonicalization,,
1149,https://job-boards.greenhouse.io/celonis/jobs/6646073003?gh_jid=6646073003,Lead Supply Chain Optimization Deployment Architect - Public Sector,other,other,other,other,other,title_still_other_after_canonicalization,,
16,https://job-boards.greenhouse.io/omadahealth/jobs/7551558,"Senior Manager, Commercial Operations",operations_manager,other,other,operations,operations,title_still_other_after_canonicalization,,
225,https://job-boards.greenhouse.io/gomotive/jobs/8235620002,"Senior Product Marketing Manager, México",marketing_specialist,other,other,marketing,other,title_still_other_after_canonicalization,,
1055,https://job-boards.greenhouse.io/webflow/jobs/7484178,"Technical Support Associate, Weekends (Australia)",it_support_specialist,other,other,it_operations,other,title_still_other_after_canonicalization,,
121,https://job-boards.greenhouse.io/smartsheet/jobs/7571887,Sr. Tax Accountant - International,accountant,other,other,finance,finance,title_still_other_after_canonicalization,,
534,https://job-boards.greenhouse.io/canonical/jobs/7043028,UX Designer - Design systems,product_designer,other,other,design,design,title_still_other_after_canonicalization,,
926,https://job-boards.greenhouse.io/truebill/jobs/7637297003,"Senior Full Stack Engineer, AI & Data Products",fullstack_engineer,other,other,fullstack,other,title_still_other_after_canonicalization,,
