job_indexed_id,source,source_job_id,url,company_name,title_raw,title_clean,description_clean_excerpt,pred_normalized_title,pred_role_family,pred_seniority,pred_employment_type,pred_location_type,pred_city,pred_country,pred_salary_min,pred_salary_max,pred_salary_currency,gold_normalized_title,gold_role_family,gold_experience_years_min,gold_experience_years_max,gold_experience_required,gold_education_level,gold_degree_required,gold_soft_skills,gold_location_type,gold_country,gold_location_city,gold_employment_type,gold_seniority,gold_language_requirements,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,gold_tools_tech,labeler,review_status,notes,label_source,label_model,label_confidence,needs_review,review_categories,primary_review_category,missing_core_count
1469,greenhouse,7436461,https://job-boards.greenhouse.io/datacamp/jobs/7436461,,,,,other,other,,,,London,GB,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
479,greenhouse,4283003,https://job-boards.greenhouse.io/canonical/jobs/4283003,,,,,other,other,,,,Home Based - Americas,,,,,,,,,,,,,remote,,Home Based - Americas,unspecified,unspecified,,,,,,,,in_review,"Location is specified as 'Home Based - Americas', which could be interpreted in multiple ways, and other fields are missing. | rule_review: missing_normalized_title,missing_role_family",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|missing_role_family|location_without_country,low_confidence,2
1280,greenhouse,7510447003,https://job-boards.greenhouse.io/celonis/jobs/7510447003?gh_jid=7510447003,,,,,other,other,,,,Munich,DE,,,,,other,,,0,,,,onsite,DE,Munich,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,1
1144,greenhouse,7532064003,https://job-boards.greenhouse.io/celonis/jobs/7532064003?gh_jid=7532064003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1433,greenhouse,7588024,https://job-boards.greenhouse.io/appier/jobs/7588024,,,,,other,other,,,,Tokyo,,,,,,other,,,0,,,,onsite,,Tokyo,unspecified,unspecified,,,,,,,,in_review,"Location and country are specified, but other details are missing. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title|location_without_country,low_confidence,1
84,greenhouse,7594178,https://job-boards.greenhouse.io/smartsheet/jobs/7594178,,,,,other,other,,,,Boston,US,,,,,other,,,0,,,,onsite,US,Boston,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title,low_confidence,2
1957,greenhouse,6203991,https://job-boards.greenhouse.io/capco/jobs/6203991,,,,,other,other,,,,,PL,,,,,other,,,0,,,,,PL,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1582,greenhouse,5236287,https://job-boards.greenhouse.io/capco/jobs/5236287,,,,,other,other,,,,,PL,,,,,other,,,0,,,,,PL,,,unspecified,,,,,,,,in_review,"Title and role family are not specified, experience and employment type are unknown. | rule_review: missing_normalized_title,too_many_core_fields_missing",ollama,qwen2.5:7b,0.500,1,low_confidence|missing_normalized_title|too_many_core_fields_missing,low_confidence,3
1327,greenhouse,7609061003,https://job-boards.greenhouse.io/celonis/jobs/7609061003?gh_jid=7609061003,,,,,other,other,,,,Madrid,ES,,,,,other,,,0,,,,onsite,ES,Madrid,,unspecified,,,,,,,,in_review,"Title and role family are unknown, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,2
1148,greenhouse,7618717003,https://job-boards.greenhouse.io/celonis/jobs/7618717003?gh_jid=7618717003,,,,,other,other,,,,London,GB,,,,,other,,,0,,,,onsite,GB,London,unspecified,unspecified,,,,,,,,in_review,"Title and role family are unknown, experience and education details are missing, employment type is unspecified. | rule_review: missing_normalized_title",ollama,qwen2.5:7b,0.550,1,low_confidence|missing_normalized_title,low_confidence,1
