row_id,source_job_id,title_clean
1,4652575005,Data Analytics Director
2,4665181005,Growth Marketing Manager
3,4642180005,Marketing & Communications Manager
4,4501664005,Telehealth Provider (MD & DO)
5,6630931,"Accounting Manager, Corporate Accounting"
6,7565197,"Director of Engineering, Member Experience – Core User Experience (B2C)"
7,7402427,"Director, Product Management"
8,7597061,"Program Manager, Strategy and Operations"
9,7347080,"Regional Vice President, GLP-1 Sales"
10,7565149,"Senior Accountant, Financial Reporting & Technical Accounting"
11,7473994,"Senior Analyst, Strategic Finance"
12,7543805,Senior Commercial Counsel
13,7371153,"Senior Data Analyst, B2B Analytics"
14,7351285,Senior Director Client Reporting and Analytics
15,7396423,Senior Employment Counsel
16,7551558,"Senior Manager, Commercial Operations"
17,7550773,"Senior Manager, Health Information Management"
18,7562427,Senior Member Growth Manager
19,7648699,Senior Salesforce Administrator
20,7235659,Senior Software Engineer
21,7137954,Senior Software Engineer
22,7415707,Senior Systems Automation Engineer
23,7395163,Senior Workforce Management Analyst
24,7567588,Software Engineer II
25,7235657,"Software Engineer II, Android"
26,7235663,Staff Product Designer
27,7611424,Staff Software Engineer
28,7381236,Strategic Account Executive - Mid-Market
29,7540354,Strategic Alliance Manager
30,6718388,"Account Executive, Commercial - Mid Market"
31,6718395,"Account Executive, Commercial - Mid Market"
32,7644646,"Account Executive, Commercial - New Business"
33,6470457,Account Executive - Enterprise (Japan)
34,7637509,"Account Executive, Enterprise - New Business"
35,3788031,"Account Executive, SMB"
36,7291129,"Account Executive, SMB"
37,7590172,"Account Executive, Strategic Accounts - New Business"
38,7657151,Business Development Representative
39,5955645,Business Development Representative
40,7547203,Business NetSuite Analyst II (Remote Elegible - Costa Rica)
41,7630247,Client Services Director
42,7585064,Commercial Account Executive - Danish Speaking
43,7585029,Commercial Account Executive - French Speaking
44,6286035,Commercial Account Executive - Growth
45,7453306,Corporate Counsel I
46,7167997,Data Scientist II (Hybrid in Bangalore)
47,7578148,"Director, Engineering (Hybrid in Bangalore)"
48,7630792,"Director, Product Design (Remote Eligible)"
49,7608763,Enterprise Account Executive
50,7663183,Enterprise Account Executive
51,7608802,Enterprise Account Executive
52,7584954,Enterprise Account Executive
53,7297639,Enterprise Account Executive
54,7584948,Enterprise Account Executive - French Speaking
55,7205498,Enterprise Account Executive- Healthcare
