old_normalized_title,old_role_family,count,action,new_normalized_title,new_role_family,rationale
software_engineer,software_engineering,528,map_existing,software_engineer,software_engineering,already_in_v2
other,other,174,map_existing,other,other,already_in_v2
account_executive,sales,152,map_existing,account_executive,sales,already_in_v2
manager,operations,144,extend,manager,operations,freq>=5_and_semantically_distinct
consultant,consulting,142,map_existing,consultant,consulting,already_in_v2
sales_representative,sales,87,map_existing,sales_representative,sales,already_in_v2
business_analyst,business_analysis,61,map_existing,business_analyst,business_analysis,already_in_v2
marketing_specialist,marketing,57,map_existing,marketing_specialist,marketing,already_in_v2
product_manager,product_management,56,map_existing,product_manager,product_management,already_in_v2
data_analyst,data_analytics,48,map_existing,data_analyst,data_analytics,already_in_v2
business_development_representative,sales,40,map_existing,business_development_representative,sales,already_in_v2
backend_engineer,backend,39,map_existing,backend_engineer,backend,already_in_v2
account_manager,sales,35,map_existing,account_manager,sales,already_in_v2
data_engineer,data_engineering,32,map_existing,data_engineer,data_engineering,already_in_v2
operations_specialist,operations,27,map_existing,operations_specialist,operations,already_in_v2
data_scientist,data_science,21,map_existing,data_scientist,data_science,already_in_v2
it_support_specialist,it_operations,21,map_existing,it_support_specialist,it_operations,already_in_v2
solutions_architect,architecture,20,map_existing,solutions_architect,architecture,already_in_v2
customer_success_manager,customer_success,19,map_existing,customer_success_manager,customer_success,already_in_v2
product_designer,design,19,map_existing,product_designer,design,already_in_v2
analytics_manager,data_analytics,18,map_existing,analytics_manager,data_analytics,already_in_v2
fullstack_engineer,fullstack,18,map_existing,fullstack_engineer,fullstack,already_in_v2
accountant,finance,17,map_existing,accountant,finance,already_in_v2
enterprise_architect,architecture,16,extend,enterprise_architect,architecture,freq>=5_and_semantically_distinct
general_application,recruiting,16,map_existing,general_application,recruiting,already_in_v2
site_reliability_engineer,sre,15,map_existing,site_reliability_engineer,sre,already_in_v2
alliance_manager,partnerships,14,map_existing,alliance_manager,partnerships,already_in_v2
operations_manager,operations,13,map_existing,operations_manager,operations,already_in_v2
technical_program_manager,program_management,13,map_existing,technical_program_manager,program_management,already_in_v2
devops_engineer,devops,12,map_existing,devops_engineer,devops,already_in_v2
ml_engineer,machine_learning,12,map_existing,ml_engineer,machine_learning,already_in_v2
technical_recruiter,recruiting,11,map_existing,technical_recruiter,recruiting,already_in_v2
financial_analyst,finance,8,map_existing,financial_analyst,finance,already_in_v2
hr_business_partner,hr,8,map_existing,hr_business_partner,hr,already_in_v2
legal_counsel,legal,8,map_existing,legal_counsel,legal,already_in_v2
ml_scientist,machine_learning,8,map_existing,ml_scientist,machine_learning,already_in_v2
systems_administrator,it_operations,7,map_existing,systems_administrator,it_operations,already_in_v2
analytics_engineer,data_analytics,6,map_existing,analytics_engineer,data_analytics,already_in_v2
chief_technology_officer,executive_leadership,6,extend,chief_technology_officer,executive_leadership,freq>=5_and_semantically_distinct
analytics_director,data_analytics,5,map_existing,analytics_director,data_analytics,already_in_v2
hr_generalist,hr,5,map_existing,hr_generalist,hr,already_in_v2
office_administrator,operations,5,map_existing,office_administrator,operations,already_in_v2
content_designer,design,4,map_existing,content_designer,design,already_in_v2
frontend_engineer,frontend,4,map_existing,frontend_engineer,frontend,already_in_v2
implementation_consultant,consulting,4,map_existing,implementation_consultant,consulting,already_in_v2
industry_lead,sales,4,keep_other,other,other,rare_freq<5
talent_analytics_specialist,hr,4,map_existing,talent_analytics_specialist,hr,already_in_v2
seo_specialist,marketing,3,map_existing,seo_specialist,marketing,already_in_v2
corporate_development,strategy,2,keep_other,other,other,rare_freq<5
investment_analyst,finance,2,map_existing,investment_analyst,finance,already_in_v2
localization_intern,operations,2,keep_other,other,other,rare_freq<5
business_systems_analyst,business_analysis,1,keep_other,other,other,rare_freq<5
chief_revenue_officer,executive_leadership,1,keep_other,other,other,rare_freq<5
healthcare_provider,healthcare,1,keep_other,other,other,rare_freq<5
hr_manager,hr,1,map_existing,hr_manager,hr,already_in_v2
implementation_coordinator,consulting,1,keep_other,other,other,rare_freq<5
marketing_manager,marketing,1,keep_other,other,other,rare_freq<5
operations_analyst,operations,1,keep_other,other,other,rare_freq<5
program_analyst,program_management,1,map_existing,program_analyst,program_management,already_in_v2
