count	title
12	Garment Manufacturing QC Specialist - Freelance AI Trainer Project
11	Geospatial Reasoning Specialist (Senior) - Freelance AI Trainer Project
9	German Language Specialist - Freelance AI Trainer Project
8	Pavement Condition Index (PCI) Survey & Annotation Specialist – Freelance AI Trainer Project
7	Italian Language Specialist - Freelance AI Trainer Project
7	Kotlin Coding Specialist - Freelance AI Trainer Project
6	Finnish Language Specialist - Freelance AI Trainer Project
6	French Language Specialist - Freelance AI Trainer Project
6	German Language Specialist (Android Device) - Freelance AI Trainer Project
6	Python Coding Specialist - Freelance AI Trainer Project
6	Thai Language Specialist - Freelance AI Trainer Project
6	Ukrainian Language Specialist - Freelance AI Trainer Project
6	Vietnamese Language Specialist - Freelance AI Trainer Project
5	Chinese Language Specialist - Freelance AI Trainer Project
5	Danish Language Specialist - Freelance AI Trainer Project
5	Japanese Language Specialist - Freelance AI Trainer Project
5	Korean Language Specialist - Freelance AI Trainer Project
5	Swedish Language Specialist - Freelance AI Trainer Project
4	Audio Editing Specialist - Freelance AI Trainer Project
4	Coding Specialist (Fluent in Spanish - Latin America) - Freelance AI Trainer Project
4	Education Specialist (Fluent in French) - Freelance AI Trainer Project
4	Energy Specialist (Fluent in French) - Freelance AI Trainer Project
4	Environment Specialist (Fluent in French) - Freelance AI Trainer Project
4	Finance Specialist (Fluent in French) - Freelance AI Trainer Project
4	Healthcare Specialist (Fluent in French) - Freelance AI Trainer Project
4	HR Specialist (Fluent in French) - Freelance AI Trainer Project
4	Indonesian Language Specialist - Freelance AI Trainer Project
4	Insurance Specialist (Fluent in French) - Freelance AI Trainer Project
4	LaTex Specialist (Fluent in Spanish- Latin America) - Freelance AI Trainer Project
4	Manufacturing Specialist (Fluent in French) - Freelance AI Trainer Project
4	Mathematics Specialist (Fluent in Spanish - Latin America) - Freelance AI Trainer Project
4	Spanish Language Specialist (Latin America) - Freelance AI Trainer Project
3	Coding Specialist (Fluent in French) - Freelance AI Trainer Project
3	Computer Vision Specialist - Freelance AI Trainer Project
3	Homography Specialist - Freelance AI Trainer Project
3	Kinyarwanda Language Specialist - Freelance AI Trainer Project
3	LaTex Specialist (Fluent in French) - Freelance AI Trainer Project
3	Medicine Specialist (Fluent in French) - Freelance AI Trainer Project
3	Norwegian Language Specialist - Freelance AI Trainer Project
3	Sound Engineering Specialist - Freelance AI Trainer Project
3	STEM Specialist (Fluent in French) - Freelance AI Trainer Project
3	Video Production Specialist - Freelance AI Trainer Project
2	Amharic Language Specialist - Freelance AI Trainer Project
2	Asturian Language Specialist - Freelance AI Trainer Project
2	Bash Coding Specialist - Freelance AI Trainer Project
2	Cantonese Language Specialist - Freelance AI Trainer Project
2	C# Coding Specialist - Freelance AI Trainer Project
2	C++ Coding Specialist - Freelance AI Trainer Project
2	Coding Specialist (Fluent in German) - Freelance AI Trainer Project
2	Coding Specialist (Fluent in Indonesian) - Freelance AI Trainer Project
2	Electrical Engineering Specialist - Freelance AI Trainer Project
2	French Language Specialist (Android Device) - Freelance AI Trainer Project
2	HTML Coding Specialist - Freelance AI Trainer Project
2	Java Coding Specialist - Freelance AI Trainer Project
2	JavaScript Coding Specialist - Freelance AI Trainer Project
2	Khmer Language Specialist - Freelance AI Trainer Project
2	Kyrgyz Language Specialist - Freelance AI Trainer Project
2	LaTex Specialist (Fluent in German) - Freelance AI Trainer Project
2	LaTex Specialist (Fluent in Russian) - Freelance AI Trainer Project
2	Litigation Specialist - Freelance AI Trainer Project
2	Luo Language Specialist - Freelance AI Trainer Project
2	Malay Voice Acting Specialist - Freelance AI Trainer Project
2	Maltese Language Specialist - Freelance AI Trainer Project
2	Māori Language Specialist - Freelance AI Trainer Project
2	Mathematics Specialist (Fluent in French) - Freelance AI Trainer Project
2	Mathematics Specialist (Fluent in Russian) - Freelance AI Trainer Project
2	Medical Specialist (Fluent in Arabic) - Freelance AI Trainer Project
2	Medicine Specialist (Fluent in German) - Freelance AI Trainer Project
2	Microbiology Specialist - Freelance AI Trainer Project
2	Mongolian Language Specialist - Freelance AI Trainer Project
2	Occitan Language Specialist - Freelance AI Trainer Project
2	Science Specialist - Freelance AI Trainer Project
2	SQL Coding Specialist - Freelance AI Trainer Project
2	STEM Specialist (Fluent in Russian) - Freelance AI Trainer Project
2	STEM Specialist - Freelance AI Trainer Project
2	Tajik Language Specialist - Freelance AI Trainer Project
2	Urdu Language Specialist - Freelance AI Trainer Project
2	Uzbek Language Specialist - Freelance AI Trainer Project
2	Welsh Language Specialist - Freelance AI Trainer Project
1	3D Artist Specialist - Freelance AI Trainer Project
1	3D Art Specialist - Freelance AI Trainer Project
1	3D Designer Specialist - Freelance AI Trainer Project
1	3D Modeler Specialist - Freelance AI Trainer Project
1	3D Modeling Specialist - Freelance AI Trainer Project
1	Accounting Specialist - Freelance AI Trainer Project
1	Actuarial Science Specialist - Freelance AI Trainer Project
1	Afrikaans Language Specialist - Freelance AI Trainer Project
1	Afrikaans Trilingual Language Specialist - Freelance AI Trainer Project
1	Afrikaans Voice Acting Specialist - Freelance AI Trainer Project
1	Albanian Language Specialist - Freelance AI Trainer Project
1	Alentejano Dialect Specialist - Freelance AI Trainer Project
1	Alexandrian Dialect Specialist - Freelance AI Trainer Project
1	Analytical Chemistry Specialist - Freelance AI Trainer Project
1	Animation Specialist - Freelance AI Trainer Project
1	Anthropology Specialist - Freelance AI Trainer Project
1	Antibiotic Resistance Specialist - Freelance AI Trainer Project
1	Arabic (Emirati) Language Specialist - Freelance AI Trainer Project
1	Arabic (Gulf) Language Specialist - Freelance AI Trainer Project
1	Arabic (Iraqi) Language Specialist - Freelance AI Trainer Project
1	Arabic (Levantine) Language Specialist - Freelance AI Trainer Project
1	Arabic (Maghrebi) Language Specialist - Freelance AI Trainer Project
1	Arabic (Yemeni) Language Specialist - Freelance AI Trainer Project
1	Armenian Language Specialist - Freelance AI Trainer Project
1	Art History Specialist - Freelance AI Trainer Project
1	Assamese Language Specialist - Freelance AI Trainer Project
1	Audio Specialist (US) - Freelance AI Trainer Project
1	Aymara Language Specialist - Freelance AI Trainer Project
1	Azerbaijani (Azeri) Language Specialist - Freelance AI Trainer Project
1	Backend Engineering Specialist - Freelance AI Trainer Project
1	Basque Language Specialist - Freelance AI Trainer Project
1	Basque Trilingual Language Specialist - Freelance AI Trainer Project
1	Bedawi Dialect Specialist - Freelance AI Trainer Project
1	Belarusian Language Specialist - Freelance AI Trainer Project
1	Bengali Language Specialist - Freelance AI Trainer Project
1	Bengali Language Specialist (India) - Freelance AI Trainer Project
1	Bhojpuri Dialect Specialist - Freelance AI Trainer Project
1	Biology Specialist - Freelance AI Trainer Project
1	Bosnian Language Specialist - Freelance AI Trainer Project
1	Bulgarian Language Specialist - Freelance AI Trainer Project
1	Bulgarian Trilingual Language Specialist - Freelance AI Trainer Project
1	Burmese Language Specialist - Freelance AI Trainer Project
1	Business and Management Specialist – Freelance AI Trainer Project
1	Carioca Dialect Specialist - Freelance AI Trainer Project
1	Catalan Language Specialist - Freelance AI Trainer Project
1	Cebuano Language Specialist - Freelance AI Trainer Project
1	Character Artist Specialist - Freelance AI Trainer Project
1	Character Modeling Specialist - Freelance AI Trainer Project
1	Chemical Engineering Specialist - Freelance AI Trainer Project
1	Chemistry Specialist (Fluent in Egyptian Arabic) - Freelance AI Trainer Project
1	Chemistry Specialist - Freelance AI Trainer Project
1	Chichewa Language Specialist - Freelance AI Trainer Project
1	Chinese Language Specialist (Taiwan) - Freelance AI Trainer Project
1	Civil Engineering Specialist - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Arabic) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Bengali) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Chinese) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Dutch) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Hindi) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Hindi - Roman Script) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Japanese) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Korean) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Marathi) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Portuguese - Brazil) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Portuguese - Portugal) - Freelance AI Trainer Project
1	Coding Specialist - (Fluent in Russian) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Russian) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Spanish - Spain) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Swedish) - Freelance AI Trainer Project
1	Coding Specialist (Fluent in Telugu) - Freelance AI Trainer Project
1	Computer Graphics Specialist - Freelance AI Trainer Project
1	Computer & Information Systems Specialist - Freelance AI Trainer Project
1	Cordobes Dialect Specialist - Freelance AI Trainer Project
1	Corporate & Markets Specialist – Freelance AI Trainer Project
1	Croatian Language Specialist - Freelance AI Trainer Project
1	Cybersecurity Specialist - Freelance AI Trainer Project
1	Czech Language Specialist - Freelance AI Trainer Project
1	Dari Language Specialist - Freelance AI Trainer Project
1	Database & Network Specialist - AI Trainer Project- Freelance AI Trainer Project
1	Data Science Specialist - AI Trainer Project- Freelance AI Trainer Project
1	Drone Systems Specialist – Freelance AI Trainer Project
1	Drug Discovery Specialist - Freelance AI Trainer Project
1	Dutch (Suriname/Caribbean) Language Specialist - Freelance AI Trainer Project
1	Economics Specialist - Freelance AI Trainer Project
1	English (Australian) Language Specialist - Freelance AI Trainer Project
1	English (Caribbean/Belize/Guyana) Language Specialist - Freelance AI Trainer Project
1	English Language Specialist (US Only) - Freelance AI Trainer Project
1	English (New Zealand) Language Specialist - Freelance AI Trainer Project
1	Environmental Physics Specialist - Freelance AI Trainer Project
1	Environmental Science Specialist - Freelance AI Trainer Project
1	Epidemiology Specialist -  Freelance AI Trainer Project
1	Estonian Language Specialist - Freelance AI Trainer Project
1	Explosive Engineering Specialist - Freelance AI Trainer Project
1	Filipino Language Specialist - Freelance AI Trainer Project
1	Finance Specialist - Freelance AI Trainer Project
1	Financial Institutions Specialist – Freelance AI Trainer Project
1	French (Haiti/French Guiana) Language Specialist - Freelance AI Trainer Project
1	French Language Specialist (France) - Freelance AI Trainer Project
1	Fulah Language Specialist - Freelance AI Trainer Project
1	Full Stack Engineering Specialist - Freelance AI Trainer Project
1	Fungi Pathogens Specialist - Freelance AI Trainer Project
1	Galician Language Specialist - Freelance AI Trainer Project
1	Galician Trilingual Language Specialist - Freelance AI Trainer Project
1	Ganda Language Specialist - Freelance AI Trainer Project
1	Georgian Language Specialist - Freelance AI Trainer Project
1	Greek Language Specialist - Freelance AI Trainer Project
1	Greek Voice Acting Specialist - Freelance AI Trainer Project
1	Guaraní Language Specialist - Freelance AI Trainer Project
1	Gujarati Language Specialist - Freelance AI Trainer Project
1	Haitian Creole Language Specialist - Freelance AI Trainer Project
1	Hausa Language Specialist - Freelance AI Trainer Project
1	Health Sciences Specialist - Freelance AI Trainer Project
1	Health Technicians Specialist - Freelance AI Trainer Project
1	Hebrew Language Specialist - Freelance AI Trainer Project
1	Hijazi Dialect Specialist - Freelance AI Trainer Project
1	Hindi Audio Specialist - Freelance AI Trainer Project
1	Hindi Language Specialist - Freelance AI Trainer Project
1	Hindi Language Specialist (Roman Script) - Freelance AI Trainer Project
1	History Specialist - Freelance AI Trainer Project
1	Hmong Language Specialist - Freelance AI Trainer Project
1	Human Pathogens and Clinic Specialist - Freelance AI Trainer Project
1	Human Resource Specialist - Freelance AI Trainer Project
1	Hungarian Language Specialist - Freelance AI Trainer Project
1	Hungarian Trilingual Language Specialist - Freelance AI Trainer Project
1	Hungarian Voice Acting Specialist - Freelance AI Trainer Project
1	Icelandic Language Specialist - Freelance AI Trainer Project
1	Igbo Language Specialist - Freelance AI Trainer Project
1	Indonesian Voice Acting Specialist - Freelance AI Trainer Project
1	Insurance Specialist - Freelance AI Trainer Project
1	Investment Specialist – Freelance AI Trainer Project
1	Irish Gaelic Language Specialist - Freelance AI Trainer Project
1	Isolating Pathogens Specialist - Freelance AI Trainer Project
1	Italian Language Specialist (Android Device) - Freelance AI Trainer Project
1	Japanese-Korean Bilingual Specialist - Freelance AI Trainer Project
1	Javanese Language Specialist - Freelance AI Trainer Project
1	Kabuverdianu Language Specialist - Freelance AI Trainer Project
1	Kannada Language Specialist - Freelance AI Trainer Project
1	Kansai Dialect Specialist - Freelance AI Trainer Project
1	Kaqchikel (Mayan) Language Specialist - Freelance AI Trainer Project
1	Kazakh Language Specialist - Freelance AI Trainer Project
1	Khaleeji Dialect Specialist - Freelance AI Trainer Project
1	K'iche' (Mayan) Language Specialist - Freelance AI Trainer Project
1	Korean-Chinese Bilingual Specialist - Freelance AI Trainer Project
1	Korean-Japanese Bilingual Specialist - Freelance AI Trainer Project
1	Korean Language Specialist (Android Device) - Freelance AI Trainer Project
1	Kurdish (Kurmanji) Language Specialist - Freelance AI Trainer Project
1	Kurdish (Sorani) Language Specialist - Freelance AI Trainer Project
1	Lao Language Specialist - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Chinese) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Hindi) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Indonesian) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Italian) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Spanish - Spain) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Tagalog) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Thai) - Freelance AI Trainer Project
1	LaTex Specialist (Fluent in Vietnamese) - Freelance AI Trainer Project
1	Latvian Language Specialist - Freelance AI Trainer Project
1	Lingala Language Specialist - Freelance AI Trainer Project
1	Literature Specialist – Freelance AI Trainer Project
1	Lithuanian Language Specialist - Freelance AI Trainer Project
1	Litoraleno Dialect Specialist - Freelance AI Trainer Project
1	Luxembourgish Language Specialist - Freelance AI Trainer Project
1	Macedonian Language Specialist - Freelance AI Trainer Project
1	Malayalam Language Specialist - Freelance AI Trainer Project
1	Malay Trilingual Language Specialist - Freelance AI Trainer Project
1	Mandarin Chinese Language Specialist - Freelance AI Trainer Project
1	Mapudungun Language Specialist - Freelance AI Trainer Project
1	Marathi Language Specialist - Freelance AI Trainer Project
1	Materials Science/Engineering Specialist - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Arabic) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Dutch) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Hindi) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Hindi - Roman Script) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Indonesian) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Italian) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Japanese) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Korean) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Portuguese - Brazil) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Portuguese - Portugal) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Spanish - Spain) - Freelance AI Trainer Project
1	Mathematics Specialist (Fluent in Swedish) - Freelance AI Trainer Project
1	Mechanical Engineering Specialist - Freelance AI Trainer Project
1	Medicine Specialist (Fluent in Japanese) - Freelance AI Trainer Project
1	Medicine Specialist - Freelance AI Trainer Project
1	Nahuatl Language Specialist - Freelance AI Trainer Project
