job_indexed_id,url,title_clean,gold_normalized_title,gold_role_family,gold_seniority,gold_employment_type,gold_location_type,gold_location_city,gold_country,gold_salary_min,gold_salary_max,gold_salary_currency,gold_salary_period,qa_status,qa_fix_normalized_title,qa_fix_role_family,qa_fix_seniority,qa_fix_employment_type,qa_fix_location_type,qa_fix_location_city,qa_fix_country,qa_fix_salary_min,qa_fix_salary_max,qa_fix_salary_currency,qa_fix_salary_period,qa_notes
828,https://job-boards.greenhouse.io/grafanalabs/jobs/5802047004,"Senior Software Engineer - Grafana Databases, Managed Services | Canada | Remote",software_engineer,software_engineering,senior,,remote,,CA,,,,,,,,,,,,,,,,,
1016,https://job-boards.greenhouse.io/webflow/jobs/7108193,Growth Account Executive - Central,account_executive,sales,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1365,https://job-boards.greenhouse.io/appier/jobs/7159419,"AI Investment Partner (Sr Director), Taiwan",other,management,director,full_time,onsite,,TW,,,,,,,,,,,,,,,,,
802,https://job-boards.greenhouse.io/grafanalabs/jobs/5763972004,Senior Deal Manager | UK | Remote,manager,operations,senior,,remote,,GB,,,,,,,,,,,,,,,,,
100,https://job-boards.greenhouse.io/smartsheet/jobs/7639370,Sr. Compensation Consultant,consultant,consulting,senior,,remote,,IN,,,,,,,,,,,,,,,,,
1027,https://job-boards.greenhouse.io/webflow/jobs/7657237,People Analytics & Insights Analyst,data_analyst,data_analytics,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
823,https://job-boards.greenhouse.io/grafanalabs/jobs/5783880004,Senior Product Marketing Manager | Spain | Remote,marketing_specialist,marketing,senior,,remote,,ES,,,,,,,,,,,,,,,,,
1570,https://job-boards.greenhouse.io/capco/jobs/7487457,Business Analyst - Cash and Loans (She/He/They),business_analyst,business_analysis,senior,full_time,hybrid,,PL,,,,,,,,,,,,,,,,,
402,https://job-boards.greenhouse.io/canonical/jobs/6643484,Product Manager - Data,product_manager,product_management,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
797,https://job-boards.greenhouse.io/grafanalabs/jobs/5783159004,Senior Backend Engineer | Mimir OSS | Spain | Remote,backend_engineer,backend,senior,,remote,,ES,,,,,,,,,,,,,,,,,
1948,https://job-boards.greenhouse.io/capco/jobs/7653003,Sr AWS Data Engineer,data_engineer,data_engineering,senior,,remote,,IN,,,,,,,,,,,,,,,,,
254,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,Technical Support Eng- MM/CMRL,it_support_specialist,it_operations,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1381,https://job-boards.greenhouse.io/appier/jobs/7566092,Investment Analyst,investment_analyst,finance,senior,,remote,,US,,,,,,,,,,,,,,,,,
1260,https://job-boards.greenhouse.io/celonis/jobs/6118583003?gh_jid=6118583003,Senior Solutions Architect,solutions_architect,architecture,senior,full_time,onsite,Munich,DE,,,,,,,,,,,,,,,,,
1049,https://job-boards.greenhouse.io/webflow/jobs/7624566,"Staff Product Designer, New Products",product_designer,design,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1035,https://job-boards.greenhouse.io/webflow/jobs/7550682,Senior Data Scientist,data_scientist,data_science,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
1405,https://job-boards.greenhouse.io/appier/jobs/7364432,"Senior Machine Learning Scientist, Advertising Incrementality",ml_scientist,machine_learning,senior,full_time,onsite,Taipei,TW,,,,,,,,,,,,,,,,,
508,https://job-boards.greenhouse.io/canonical/jobs/3137607,Talent Scientist,talent_analytics_specialist,,senior,full_time,remote,,,,,,,,,,,,,,,,,,,
1497,https://job-boards.greenhouse.io/kalepa/jobs/5737424004,Senior Full Stack Engineer - Core UX (USA),fullstack_engineer,fullstack,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
191,https://job-boards.greenhouse.io/gomotive/jobs/8387634002,"Manager, of Customer Success Mexico",customer_success_manager,customer_success,senior,full_time,onsite,Mexico City,,,,,,,,,,,,,,,,,,
832,https://job-boards.greenhouse.io/grafanalabs/jobs/5808861004,"Senior Software Engineer - Grafana Databases, SRE | Sweden | Remote",site_reliability_engineer,sre,senior,,remote,,ES,,,,,,,,,,,,,,,,,
459,https://job-boards.greenhouse.io/canonical/jobs/5359697,Silicon Alliances Ecosystem Development Manager,alliance_manager,partnerships,senior,,remote,,,,,,,,,,,,,,,,,,,
1046,https://job-boards.greenhouse.io/webflow/jobs/7376862,"Senior Technical Program Manager, Security",technical_program_manager,program_management,senior,full_time,remote,,US,,,,,,,,,,,,,,,,,
916,https://job-boards.greenhouse.io/correlationone/jobs/5796167004,Senior Recruiter (Contract),technical_recruiter,recruiting,senior,contract,remote,,US,,,,,,,,,,,,,,,,,
1401,https://job-boards.greenhouse.io/appier/jobs/7189015,Senior DevOps Engineer,devops_engineer,devops,senior,,remote,,US,,,,,,,,,,,,,,,,,
1383,https://job-boards.greenhouse.io/appier/jobs/4250101,JP Legal Counsel / JP Senior Legal Counsel,legal_counsel,legal,senior,full_time,onsite,Tokyo,,,,,,,,,,,,,,,,,,
272,https://job-boards.greenhouse.io/canonical/jobs/5750137,Chief Revenue Officer,chief_revenue_officer,executive_leadership,senior,,remote,,,,,,,,,,,,,,,,,,,
1914,https://job-boards.greenhouse.io/capco/jobs/7582718,Senior Frontend Developer - React,frontend_engineer,frontend,senior,unspecified,hybrid,London,GB,,,,,,,,,,,,,,,,,
1103,https://job-boards.greenhouse.io/celonis/jobs/6541080003?gh_jid=6541080003,"Director, Corporate Development",corporate_development,strategy,lead,full_time,hybrid,New York,US,,,,,,,,,,,,,,,,,
