cluster_key,sample_titles,count,proposed_action,proposed_normalized_title,proposed_role_family,confidence_score,rationale
sig::capco_associate_talent_program,Capco Associate Talent Program - Dallas Jan 2027 | Capco Associate Talent Program - Dallas June 2026 | Capco Associate Talent Program - Houston Jan 2027,4,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=4
sig::product_owner,Product Owner (Agile/Scrum) | Product Owner (FX/Payments) | Product Owner (She/He/They),3,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=3
sig::capco_summer_internship_program,Capco Summer Internship Program - Dallas Summer 2026 | Capco Summer Internship Program - Houston Summer 2026,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::career_success_coach,Career Success Coach | Career Success Coach: (Bilingual German/English),2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::desenvolvedor_llm_backend_com,Desenvolvedor(a) LLM/Backend (GenAI & Graph Data)- COM INGLÊS - Remoto | Desenvolvedor(a) LLM/Backend (Graph Engineer)- COM INGLÊS - Remoto,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::observability_architect_usa_pst,Observability Architect | USA PST| Remote | Senior Observability Architect | USA PST| Remote,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::qa_automation_tester_all,QA Automation Tester (5 days on-site) - All levels | QA Automation Tester - All levels,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::quality_assurance,Lead Quality Assurance | Quality Assurance Intern,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::service_designer_product_experience,Lead Service Designer - Product & Experience | Senior Service Designer - Product & Experience,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::solution_architect,Senior Solution Architect | Solution Architect (Thai Speaker),2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::strategy_planning_analyst_united,Senior Strategy & Planning Analyst | United Kingdom | Remote | Senior Strategy & Planning Analyst | United States | Remote,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
