cluster_key,sample_titles,count,proposed_action,proposed_normalized_title,proposed_role_family,confidence_score,rationale
sig::observability_architect,Observability Architect | Canada | Remote | Observability Architect | Sweden | Remote | Observability Architect | USA EST| Remote,6,extend_taxonomy,observability_architect,other,0.6700,signature-based extension 'observability_architect' from repeated cluster; cluster_size=6; generic=0
sig::banco_de_talentos,Banco de Talentos | Banco de Talentos - Energia | Banco de Talentos - JAVA,5,extend_taxonomy,banco_de_talentos,other,0.6400,signature-based extension 'banco_de_talentos' from repeated cluster; cluster_size=5; generic=0
sig::capco_associate_talent_program,Capco Associate Talent Program - Dallas Jan 2027 | Capco Associate Talent Program - Dallas June 2026 | Capco Associate Talent Program - Houston Jan 2027,4,extend_taxonomy,capco_associate_talent_program,recruiting,0.6100,signature-based extension 'capco_associate_talent_program' from repeated cluster; cluster_size=4; generic=0
sig::product_owner,Product Owner (Agile/Scrum) | Product Owner (FX/Payments) | Product Owner (She/He/They),4,extend_taxonomy,product_owner,product_management,0.6100,signature-based extension 'product_owner' from repeated cluster; cluster_size=4; generic=0
sig::solution_architect,Senior Solution Architect | Solution Architect - Insurance | Solution Architect (Thai Speaker),3,extend_taxonomy,solution_architect,other,0.5800,signature-based extension 'solution_architect' from repeated cluster; cluster_size=3; generic=0
sig::strategy_planning_analyst,Senior Strategy & Planning Analyst | Ireland | Remote | Senior Strategy & Planning Analyst | United Kingdom | Remote | Senior Strategy & Planning Analyst | United States | Remote,3,extend_taxonomy,strategy_planning_analyst,other,0.5800,signature-based extension 'strategy_planning_analyst' from repeated cluster; cluster_size=3; generic=0
sig::ba_pm,Senior BA/PM | Securities Services | Sr BA / PM,2,extend_taxonomy,ba_pm,other,0.5500,signature-based extension 'ba_pm' from repeated cluster; cluster_size=2; generic=0
sig::capco_summer_internship_program,Capco Summer Internship Program - Dallas Summer 2026 | Capco Summer Internship Program - Houston Summer 2026,2,extend_taxonomy,capco_summer_internship_program,other,0.5500,signature-based extension 'capco_summer_internship_program' from repeated cluster; cluster_size=2; generic=0
sig::career_success_coach,Career Success Coach | Career Success Coach: (Bilingual German/English),2,extend_taxonomy,career_success_coach,other,0.5500,signature-based extension 'career_success_coach' from repeated cluster; cluster_size=2; generic=0
sig::client_engagement_partner,Client Engagement Partner - FSI | Client Engagement Partner - Manufacturing / Automotive,2,extend_taxonomy,client_engagement_partner,other,0.5500,signature-based extension 'client_engagement_partner' from repeated cluster; cluster_size=2; generic=0
sig::desenvolvedor_backend,Desenvolvedor(a) Backend - Node.js | Desenvolvedor Backend Junior - Exclusivo para Pessoas com Deficiência,2,extend_taxonomy,desenvolvedor_backend,other,0.5500,signature-based extension 'desenvolvedor_backend' from repeated cluster; cluster_size=2; generic=0
sig::desenvolvedor_llm_backend,Desenvolvedor(a) LLM/Backend (GenAI & Graph Data)- COM INGLÊS - Remoto | Desenvolvedor(a) LLM/Backend (Graph Engineer)- COM INGLÊS - Remoto,2,extend_taxonomy,desenvolvedor_llm_backend,data_analytics,0.5500,signature-based extension 'desenvolvedor_llm_backend' from repeated cluster; cluster_size=2; generic=0
sig::product_analyst,Staff Product Analyst | USA | Remote | Product Analyst,2,extend_taxonomy,product_analyst,product_management,0.5500,signature-based extension 'product_analyst' from repeated cluster; cluster_size=2; generic=0
sig::qa_automation_tester,QA Automation Tester (5 days on-site) - All levels | QA Automation Tester - All levels,2,extend_taxonomy,qa_automation_tester,software_engineering,0.5500,signature-based extension 'qa_automation_tester' from repeated cluster; cluster_size=2; generic=0
sig::quality_assurance,Lead Quality Assurance | Quality Assurance Intern,2,extend_taxonomy,quality_assurance,software_engineering,0.5500,signature-based extension 'quality_assurance' from repeated cluster; cluster_size=2; generic=0
sig::service_designer,Lead Service Designer - Product & Experience | Senior Service Designer - Product & Experience,2,extend_taxonomy,service_designer,product_management,0.5500,signature-based extension 'service_designer' from repeated cluster; cluster_size=2; generic=0
sig::summernaut_program,Summernaut Program - AI & Management Consulting (Value Engineering) Summer Intern | Summernaut Program - ESG Transformation Summer Intern,2,extend_taxonomy,summernaut_program,other,0.5500,signature-based extension 'summernaut_program' from repeated cluster; cluster_size=2; generic=0
sig::supply_chain_optimization_deployment,Lead Supply Chain Optimization Deployment Architect - Public Sector | Senior Supply Chain Optimization Deployment Architect - Public Sector,2,extend_taxonomy,supply_chain_optimization_deployment,other,0.5500,signature-based extension 'supply_chain_optimization_deployment' from repeated cluster; cluster_size=2; generic=0
sig::msim,MSIM - Billing Ops -Mumbai | MSIM - Ops -Mumbai,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::pm,PM - Capital Market/Trading | PM - Channels Contact Center Automation,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::pmo,PMO Lead - Delivery Excellence | PMO - Vitória/ES - Temporário,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::stack,Full Stack - COM INGLÊS - Remoto | Full-stack - Remoto,2,keep_other,other,other,0.0000,low_agreement; best_agreement=0.00; cluster_size=2
sig::accounting_apprentice,Accounting Apprentice,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::accounts_payable_associate,Senior Accounts Payable Associate,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ads_specialist,Junior Ads Specialist,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::agile_delivery,Senior Agile Delivery Lead - Cards & Payments domain,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ai_investment_partner_taiwan,"AI Investment Partner (Sr Director), Taiwan",1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ai_product_analyst,AI Product Analyst | Bank,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ai_project_management_office,AI Project Management Office (PMO) | Bank,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::amsterdam_trader_summer_internship,Amsterdam Trader Summer Internship 2026,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::analista_de_projetos,Analista de Projetos - Vitória/ES - Temporário,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::analista_de_qualidade,Analista de Qualidade(com experiência em automação) - Remoto,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::analyst,Analyst - Global Cyber Defense Team (GDCT),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::applied_scientist,Senior/Staff Applied Scientist,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::architect_google_cloud,Principal Architect: Google Cloud (GCP),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::architect_microsoft_azure,Principal Architect: Microsoft Azure,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::associate_observability_architect,Associate Observability Architect | USA EST| Remote,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::automation_test_in_capital,Automation Test Lead in Capital Market - Bengaluru,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::b3_irr_design,B3.1 IRR Design,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ba_avaloq,BA Avaloq,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ba_pm_reg_reporting,BA / PM Reg Reporting,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::ba_po_credit_analysis,BA/PO- Credit Analysis,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::brand_designer,Senior Brand Designer,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::brand_media,Brand Media Lead,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::business_analysis,Senior Business Analysis - Transaction reporting/Regulatory reporting,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campaign_analyst,Campaign Analyst,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campaign_executive,Campaign Executive,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::campus_recruitment_coordinator,Campus Recruitment Coordinator,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::capital_resilience,Capital Resilience,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::chicago_graduate_trader_programme,Chicago Graduate Trader Programme 2026,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::client,Client Lead (Insurance/Banking),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::clm_expert,CLM Expert,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::commercial,Commercial Director - Canada,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::commercial_ops_analyst,Commercial Ops Analyst,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::communication_and_engagement_specialist,Communication and Engagement Specialist,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::communication_trade_surveillance,Communication/Trade Surveillance - Experienced Hires,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::copilot_architect,Copilot Architect - Pune,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::country_the_netherlands,Country Lead The Netherlands,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::creative_strategist,"Senior Creative Strategist (UI Design) - Hybrid, Istanbul",1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_care,"Director, Customer Care",1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_education_and_certification,Customer Education and Certification Lead,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_reference_specialist,Customer Reference Specialist (Contract),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::customer_transformation_advisor,Customer Transformation Advisor,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::delivery_corporate_banking_implementation,Delivery Lead – Corporate Banking Implementation (She/He/They),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::desenvolvedor_stack,Desenvolvedor(a) Full Stack Senior | Inglês,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::design_researcher,Senior Design Researcher - User Science,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::dev_fullstack_com_ia,Senior Dev Fullstack com IA - Remoto,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::device_management_process_owner,Device Management Process Owner (She/He/They),1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::digital_ba,Digital BA | Chatbot Contact Center Project,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
sig::dynamics,Dynamics 365,1,keep_other,other,other,0.0000,cluster_too_small; best_agreement=0.00; cluster_size=1
