job_indexed_id,url,title_clean,pred_location_type,pred_city,pred_country,gold_location_type,gold_location_city,gold_country,decision,notes
1945,https://job-boards.greenhouse.io/capco/jobs/7613220,Solution Architect - Insurance,hybrid,China - Hong Kong,,hybrid,,,,
467,https://job-boards.greenhouse.io/canonical/jobs/6300377,"Software Alliances Director, EMEA",remote,,,onsite,,,,
1619,https://job-boards.greenhouse.io/capco/jobs/7522164,Consultant | Data Analyst,,China - Hong Kong,,onsite,,,,
1890,https://job-boards.greenhouse.io/capco/jobs/7587875,Senior Data Analyst | Banking,,China - Hong Kong,,onsite,,,,
992,https://job-boards.greenhouse.io/inthepocket/jobs/7102192,Team Lead,,Belgium,,onsite,,,,
990,https://job-boards.greenhouse.io/inthepocket/jobs/7273769,Marketing Manager,,Belgium,,onsite,,,,
1522,https://job-boards.greenhouse.io/capco/jobs/7649251,AI Product Analyst | Bank,,China - Hong Kong,,onsite,,,,
1677,https://job-boards.greenhouse.io/capco/jobs/6856413,Executive Director | Insurance (Transformation Consulting),,China - Hong Kong,,onsite,,,,
1616,https://job-boards.greenhouse.io/capco/jobs/7573533,Consultant | AI Product Analyst,,China - Hong Kong,,onsite,,,,
1592,https://job-boards.greenhouse.io/capco/jobs/7518370,Business Analyst | Securities Services/Capital Markets,,China - Hong Kong,,onsite,,,,
1872,https://job-boards.greenhouse.io/capco/jobs/7660344,Senior Business Analyst | Corporate Banking,,China - Hong Kong,,onsite,,,,
1876,https://job-boards.greenhouse.io/capco/jobs/7648976,Senior Business Analyst | TOM Delivery (CIB),,China - Hong Kong,,onsite,,,,
