normalized_title,current_esco_id,current_esco_label,mapping_confidence,mapping_source,candidate_1,candidate_2,candidate_3,review_action,review_esco_id,review_esco_label,review_notes
business_development_representative,57b459d4-655c-4053-b189-3c249ce33faf,ICT business development manager,0.710,auto_bootstrap_v1,57b459d4-655c-4053-b189-3c249ce33faf | ICT business development manager | score=0.400,30058b71-fe16-45ea-a2b8-d5461c706372 | business lecturer | score=0.250,50760da6-abc3-424c-b159-8ddf0818e016 | business valuer | score=0.250,approve,57b459d4-655c-4053-b189-3c249ce33faf,ICT business development manager,auto_fill_from_candidate_1
office_administrator,35fbb8cd-c044-49a1-850c-010481c99b4a,financial markets back office administrator,0.710,auto_bootstrap_v1,35fbb8cd-c044-49a1-850c-010481c99b4a | financial markets back office administrator | score=0.400,0a3c2d5b-e1f9-4200-9288-62bf3fed3310 | membership administrator | score=0.333,0bce6d52-a45e-4826-91ea-68976f1b9d1c | art administrator | score=0.333,fix,,,keep_separate_avoid_finance_specific_bias
business_intelligence_engineer,207d7b18-6540-432e-8aa6-785ed434572f,business intelligence manager,0.750,auto_bootstrap_v1,207d7b18-6540-432e-8aa6-785ed434572f | business intelligence manager | score=0.500,35553663-deab-4d9a-bf22-15c1625d28e8 | artificial intelligence engineer | score=0.500,01989dd8-36c0-43cc-a82d-2bfc409de9c4 | dismantling engineer | score=0.250,fix,,,keep_separate_technical_bi_engineer
chief_revenue_officer,0ddbf393-38f1-4c22-b14c-fe775008f321,chief marketing officer,0.750,auto_bootstrap_v1,0ddbf393-38f1-4c22-b14c-fe775008f321 | chief marketing officer | score=0.500,6c3fd65e-2d24-47d8-bc22-9e93512bdcc2 | chief executive officer | score=0.500,7b1b5da8-573a-49bb-a38e-68725a949f4f | chief technology officer | score=0.500,approve,0ddbf393-38f1-4c22-b14c-fe775008f321,chief marketing officer,auto_fill_from_candidate_1
consultant,068370e0-9c27-4814-87d0-44fbb3140815,recruitment consultant,0.750,auto_bootstrap_v1,068370e0-9c27-4814-87d0-44fbb3140815 | recruitment consultant | score=0.500,068c2787-58ff-468e-bbb6-c4e5dd6ee482 | actuarial consultant | score=0.500,291da1ab-1f90-426d-bbc5-60d0fa7d608b | travel consultant | score=0.500,approve,068370e0-9c27-4814-87d0-44fbb3140815,recruitment consultant,auto_fill_from_candidate_1
customer_success_manager,9c9752b7-3e3b-4a08-8553-b63a013f8072,customer experience manager,0.750,auto_bootstrap_v1,9c9752b7-3e3b-4a08-8553-b63a013f8072 | customer experience manager | score=0.500,04f39bfa-bc03-4480-98bc-b18ce4fe4b4b | accounting manager | score=0.250,0552ff45-b282-455c-b431-fb05a0e00801 | foundry manager | score=0.250,approve,9c9752b7-3e3b-4a08-8553-b63a013f8072,customer experience manager,auto_fill_from_candidate_1
solutions_architect,8c3f536e-ba66-4321-ba40-363dc39f129b,architect,0.750,auto_bootstrap_v1,8c3f536e-ba66-4321-ba40-363dc39f129b | architect | score=0.500,2bef94db-0088-4507-982a-2ca717529adb | enterprise architect | score=0.333,2fb96c6c-8d0b-4ef0-b1ee-3e493305e4eb | cloud architect | score=0.333,replace,2bef94db-0088-4507-982a-2ca717529adb,enterprise architect,prefer_enterprise_architect_over_generic_architect
account_manager,2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d,sales account manager,0.817,auto_bootstrap_v1,2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d | sales account manager | score=0.667,5e4d156a-1f05-4b2c-b0f0-5abb82d52ed6 | bank account manager | score=0.667,89b85c45-ddc7-4fe1-be5a-d3db2be11f3b | ICT account manager | score=0.667,approve,2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d,sales account manager,auto_fill_from_candidate_1
business_intelligence_analyst,60082a99-d8ef-4e84-9290-78902681b6ed,business analyst,0.817,auto_bootstrap_v1,60082a99-d8ef-4e84-9290-78902681b6ed | business analyst | score=0.667,207d7b18-6540-432e-8aa6-785ed434572f | business intelligence manager | score=0.500,fe0fa514-b48d-4a53-9757-a283c0baacf0 | ICT business analyst | score=0.500,approve,60082a99-d8ef-4e84-9290-78902681b6ed,business analyst,auto_fill_from_candidate_1
business_systems_analyst,60082a99-d8ef-4e84-9290-78902681b6ed,business analyst,0.817,auto_bootstrap_v1,60082a99-d8ef-4e84-9290-78902681b6ed | business analyst | score=0.667,fe0fa514-b48d-4a53-9757-a283c0baacf0 | ICT business analyst | score=0.500,04ba4d6c-957d-417f-bf63-5b9e015a9f86 | software analyst | score=0.250,approve,60082a99-d8ef-4e84-9290-78902681b6ed,business analyst,auto_fill_from_candidate_1
devops_engineer,cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,0.817,auto_bootstrap_v1,cc867bee-ab5c-427f-9244-f7a204d9574b | cloud DevOps engineer | score=0.667,01989dd8-36c0-43cc-a82d-2bfc409de9c4 | dismantling engineer | score=0.333,01ffb917-98dc-48c1-91ad-93c4104e791d | biomedical engineer | score=0.333,approve,cc867bee-ab5c-427f-9244-f7a204d9574b,cloud DevOps engineer,auto_fill_from_candidate_1
sales_representative,14031d4a-6e99-442f-b4fe-18262b6432b2,commercial sales representative,0.817,auto_bootstrap_v1,14031d4a-6e99-442f-b4fe-18262b6432b2 | commercial sales representative | score=0.667,4c6b3657-316e-43b5-872a-ea763411190d | electricity sales representative | score=0.667,ab762f91-d737-485f-a85c-67cab92dee01 | medical sales representative | score=0.667,approve,14031d4a-6e99-442f-b4fe-18262b6432b2,commercial sales representative,auto_fill_from_candidate_1
