title_clean,count,current_normalized_title,current_role_family,priority_bucket,proposed_normalized_title,proposed_role_family,confidence,rationale
Project Manager - Ubuntu Embedded Systems,3,manager,operations,operations_manager,technical_program_manager,program_management,high,keyword_rule_v1_manager_redistribution
Partner Success Manager - Installations,2,manager,operations,customer_success_manager,customer_success_manager,customer_success,high,keyword_rule_v1_manager_redistribution
"Accounting Manager, Corporate Accounting",1,manager,operations,finance_manager,accountant,finance,medium,keyword_rule_v1_manager_redistribution
"Associate Manager, Deal Desk - (Remote)",1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Business Services Team Manager,1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Cloud Professional Services Manager,1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Design Manager (Visual),1,manager,operations,operations_manager,product_designer,design,medium,keyword_rule_v1_manager_redistribution
Enablement Program Manager,1,manager,operations,customer_success_manager,customer_success_manager,customer_success,medium,keyword_rule_v1_manager_redistribution
Enterprise Project Manager,1,manager,operations,operations_manager,technical_program_manager,program_management,medium,keyword_rule_v1_manager_redistribution
IoT Solutions Architecture Manager (Americas only),1,manager,operations,operations_manager,solutions_architect,architecture,medium,keyword_rule_v1_manager_redistribution
Junior Campaign Manager,1,manager,operations,marketing_manager,marketing_specialist,marketing,medium,keyword_rule_v1_manager_redistribution
Junior Project Manager,1,manager,operations,operations_manager,technical_program_manager,program_management,medium,keyword_rule_v1_manager_redistribution
"Manager, Solution Services (Remote elegible - Costa Rica)",1,manager,operations,operations_manager,solutions_architect,architecture,medium,keyword_rule_v1_manager_redistribution
Principal Commodity Manager,1,manager,operations,finance_manager,accountant,finance,medium,keyword_rule_v1_manager_redistribution
"Program Manager, Localization",1,manager,operations,operations_manager,technical_program_manager,program_management,medium,keyword_rule_v1_manager_redistribution
Public Cloud Project Manager,1,manager,operations,operations_manager,technical_program_manager,program_management,medium,keyword_rule_v1_manager_redistribution
Public Sector Partner Manager,1,manager,operations,sales_manager,alliance_manager,partnerships,medium,keyword_rule_v1_manager_redistribution
Regional HR Manager - EMEA,1,manager,operations,hr_manager,hr_manager,hr,medium,keyword_rule_v1_manager_redistribution
"Regional Partner Manager, Mexico",1,manager,operations,sales_manager,alliance_manager,partnerships,medium,keyword_rule_v1_manager_redistribution
Revenue Accounting Manager,1,manager,operations,finance_manager,accountant,finance,medium,keyword_rule_v1_manager_redistribution
Senior Communications Manager - Analyst Relations,1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Senior Design Manager (Infrastructure),1,manager,operations,operations_manager,product_designer,design,medium,keyword_rule_v1_manager_redistribution
Senior Insurance Partner Manager (Carriers),1,manager,operations,sales_manager,alliance_manager,partnerships,medium,keyword_rule_v1_manager_redistribution
"Senior Manager, Health Information Management",1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Senior Member Growth Manager,1,manager,operations,marketing_manager,marketing_specialist,marketing,medium,keyword_rule_v1_manager_redistribution
Solution Architecture Manager,1,manager,operations,operations_manager,solutions_architect,architecture,medium,keyword_rule_v1_manager_redistribution
"Sr. Manager, Accounting (Hybrid in Bangalore)",1,manager,operations,finance_manager,accountant,finance,medium,keyword_rule_v1_manager_redistribution
Sr. Systems Project Manager (Hybrid in Bangalore),1,manager,operations,operations_manager,technical_program_manager,program_management,medium,keyword_rule_v1_manager_redistribution
Trial Success Manager (Central),1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Trial Success Manager (East),1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Trial Success Manager (Mountains),1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
Trial Success Manager (UK/EU),1,manager,operations,operations_manager,operations_specialist,operations,medium,keyword_rule_v1_manager_redistribution
