title_clean,count,sample_job_ids,sample_company,sample_url,priority_bucket,proposed_normalized_title,proposed_role_family,normalized_title_in_v1,notes
Project Manager - Ubuntu Embedded Systems,3,407;408;409,canonical,https://job-boards.greenhouse.io/canonical/jobs/4953222,operations_manager,technical_program_manager,program_management,1,
Partner Success Manager - Installations,2,198;199,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8384147002,customer_success_manager,customer_success_manager,customer_success,1,
"Accounting Manager, Corporate Accounting",1,5,omadahealth,https://job-boards.greenhouse.io/omadahealth/jobs/6630931,finance_manager,accountant,finance,1,
"Associate Manager, Deal Desk - (Remote)",1,148,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8399242002,operations_manager,operations_specialist,operations,1,
Business Services Team Manager,1,269,canonical,https://job-boards.greenhouse.io/canonical/jobs/5798264,operations_manager,operations_specialist,operations,1,
Cloud Professional Services Manager,1,277,canonical,https://job-boards.greenhouse.io/canonical/jobs/6283017,operations_manager,operations_specialist,operations,1,
Design Manager (Visual),1,287,canonical,https://job-boards.greenhouse.io/canonical/jobs/7566317,operations_manager,product_designer,design,1,
Enablement Program Manager,1,172,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8324209002,customer_success_manager,customer_success_manager,customer_success,1,
Enterprise Project Manager,1,322,canonical,https://job-boards.greenhouse.io/canonical/jobs/3256589,operations_manager,technical_program_manager,program_management,1,
IoT Solutions Architecture Manager (Americas only),1,351,canonical,https://job-boards.greenhouse.io/canonical/jobs/6587365,operations_manager,solutions_architect,architecture,1,
Junior Campaign Manager,1,355,canonical,https://job-boards.greenhouse.io/canonical/jobs/6492597,marketing_manager,marketing_specialist,marketing,1,
Junior Project Manager,1,359,canonical,https://job-boards.greenhouse.io/canonical/jobs/5861481,operations_manager,technical_program_manager,program_management,1,
"Manager, Solution Services (Remote elegible - Costa Rica)",1,73,smartsheet,https://job-boards.greenhouse.io/smartsheet/jobs/7648752,operations_manager,solutions_architect,architecture,1,
Principal Commodity Manager,1,200,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8384761002,finance_manager,accountant,finance,1,
"Program Manager, Localization",1,82,smartsheet,https://job-boards.greenhouse.io/smartsheet/jobs/7662195,operations_manager,technical_program_manager,program_management,1,
Public Cloud Project Manager,1,411,canonical,https://job-boards.greenhouse.io/canonical/jobs/4732475,operations_manager,technical_program_manager,program_management,1,
Public Sector Partner Manager,1,201,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8395284002,sales_manager,alliance_manager,partnerships,1,
Regional HR Manager - EMEA,1,419,canonical,https://job-boards.greenhouse.io/canonical/jobs/6180909,hr_manager,hr_manager,hr,1,
"Regional Partner Manager, Mexico",1,203,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8395398002,sales_manager,alliance_manager,partnerships,1,
Revenue Accounting Manager,1,425,canonical,https://job-boards.greenhouse.io/canonical/jobs/5830044,finance_manager,accountant,finance,1,
Senior Communications Manager - Analyst Relations,1,440,canonical,https://job-boards.greenhouse.io/canonical/jobs/7303629,operations_manager,operations_specialist,operations,1,
Senior Design Manager (Infrastructure),1,441,canonical,https://job-boards.greenhouse.io/canonical/jobs/5995321,operations_manager,product_designer,design,1,
Senior Insurance Partner Manager (Carriers),1,219,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8384543002,sales_manager,alliance_manager,partnerships,1,
"Senior Manager, Health Information Management",1,17,omadahealth,https://job-boards.greenhouse.io/omadahealth/jobs/7550773,operations_manager,operations_specialist,operations,1,
Senior Member Growth Manager,1,18,omadahealth,https://job-boards.greenhouse.io/omadahealth/jobs/7562427,marketing_manager,marketing_specialist,marketing,1,
Solution Architecture Manager,1,497,canonical,https://job-boards.greenhouse.io/canonical/jobs/5516858,operations_manager,solutions_architect,architecture,1,
"Sr. Manager, Accounting (Hybrid in Bangalore)",1,109,smartsheet,https://job-boards.greenhouse.io/smartsheet/jobs/7492226,finance_manager,accountant,finance,1,
Sr. Systems Project Manager (Hybrid in Bangalore),1,120,smartsheet,https://job-boards.greenhouse.io/smartsheet/jobs/7317884,operations_manager,technical_program_manager,program_management,1,
Trial Success Manager (Central),1,257,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/7814541002,operations_manager,operations_specialist,operations,1,
Trial Success Manager (East),1,258,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8376670002,operations_manager,operations_specialist,operations,1,
Trial Success Manager (Mountains),1,259,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8376673002,operations_manager,operations_specialist,operations,1,
Trial Success Manager (UK/EU),1,260,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8376107002,operations_manager,operations_specialist,operations,1,
