id,clean_job_id,title_raw,title_clean,normalized_title,role_family,occupation_group,company_name,url,location_type,city,region,country,taxonomy_source,taxonomy_code,taxonomy_label,taxonomy_match_confidence,review_action,review_normalized_title,review_role_family,review_occupation_group,review_notes
185,185,Instructional Designer,Instructional Designer,other,other,other,gomotive,https://job-boards.greenhouse.io/gomotive/jobs/8387980002,remote,,,PK,,,,0.0,,,,,
348,348,Information Systems - Open Source Technical Architect,Information Systems - Open Source Technical Architect,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/4551832,remote,,EMEA,,,,,0.0,,,,,
354,354,Junior Ads Specialist,Junior Ads Specialist,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/6642933,remote,,EMEA,,,,,0.0,,,,,
410,410,Public Cloud Enablement Professional,Public Cloud Enablement Professional,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/7490812,remote,,,,,,,0.0,,,,,
422,422,Représentant du Développement des Ventes,Représentant du Développement des Ventes,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5906505,,,EMEA,,,,,0.0,,,,,
423,423,Representante de Desarrollo de Ventas,Representante de Desarrollo de Ventas,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5906490,,,EMEA,,,,,0.0,,,,,
438,438,Security Risk Management Specialist,Security Risk Management Specialist,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5422575,remote,,Global,,,,,0.0,,,,,
442,442,Senior Design Researcher - User Science,Senior Design Researcher - User Science,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/7528950,remote,,EMEA,,,,,0.0,,,,,
445,445,Senior Jira Administrator,Senior Jira Administrator,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5920689,remote,,EMEA,,,,,0.0,,,,,
468,468,Software Architect - Containers / Virtualisation,Software Architect - Containers / Virtualisation,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5881447,remote,,EMEA,,,,,0.0,,,,,
510,510,Tax Senior Associate,Tax Senior Associate,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/7568354,remote,,EMEA,GB,,,,0.0,,,,,
511,511,Technical Author (multiple roles and seniority levels),Technical Author (multiple roles and seniority levels),other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/3798310,remote,,Global,,,,,0.0,,,,,
517,517,Threat Intelligence Lead,Threat Intelligence Lead,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5144666,remote,,Global,,,,,0.0,,,,,
520,520,Treasury Analyst,Treasury Analyst,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/7606934,remote,,EMEA,,,,,0.0,,,,,
537,537,Visual Designer,Visual Designer,other,other,other,canonical,https://job-boards.greenhouse.io/canonical/jobs/5326986,remote,,EMEA,,,,,0.0,,,,,
