source_job_id,url,title_clean,location_type,city,old_country,new_country,old_currency,new_currency,review_reason
7490948,https://job-boards.greenhouse.io/smartsheet/jobs/7490948,"Sr Enterprise Account Executive, Asia",hybrid,,DE,SG,,,country_nonempty_changed;no_city_with_remote_hybrid;broad_scope_title
6806756,https://job-boards.greenhouse.io/smartsheet/jobs/6806756,"Senior Manager, Engineering - Enterprise Audit",remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid
7560195,https://job-boards.greenhouse.io/smartsheet/jobs/7560195,"Manager, Engineering",remote,,DE,BG,,,country_nonempty_changed;no_city_with_remote_hybrid
7491110,https://job-boards.greenhouse.io/smartsheet/jobs/7491110,Principal Partner Account Manager,hybrid,,DE,SG,,,country_nonempty_changed;no_city_with_remote_hybrid
7293932,https://job-boards.greenhouse.io/webflow/jobs/7293932,Senior Database Engineer,remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7293969,https://job-boards.greenhouse.io/webflow/jobs/7293969,"Senior Software Engineer, Fullstack",remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7456130,https://job-boards.greenhouse.io/webflow/jobs/7456130,Senior Brand Designer,remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7543012,https://job-boards.greenhouse.io/webflow/jobs/7543012,"Technical Support Associate, Argentina",remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7572627,https://job-boards.greenhouse.io/webflow/jobs/7572627,Senior Infrastructure Engineer,remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7648674,https://job-boards.greenhouse.io/webflow/jobs/7648674,"Engineering Manager, Datastores",remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
7657237,https://job-boards.greenhouse.io/webflow/jobs/7657237,People Analytics & Insights Analyst,remote,,US,AR,,,country_nonempty_changed;no_city_with_remote_hybrid
8235467002,https://job-boards.greenhouse.io/gomotive/jobs/8235467002,Senior Product Operations Manager - International,remote,,US,MX,,,country_nonempty_changed;no_city_with_remote_hybrid
8235635002,https://job-boards.greenhouse.io/gomotive/jobs/8235635002,"Account Executive, CMRL - MX",hybrid,,US,MX,,,country_nonempty_changed;no_city_with_remote_hybrid
7278486,https://job-boards.greenhouse.io/thumbtack/jobs/7278486,"Head of Brand Production Studio, Brand Marketing",remote,,US,PH,,,country_nonempty_changed;no_city_with_remote_hybrid
7342995,https://job-boards.greenhouse.io/thumbtack/jobs/7342995,Senior Accounts Payable Associate,remote,,US,PH,,,country_nonempty_changed;no_city_with_remote_hybrid
7649054,https://job-boards.greenhouse.io/thumbtack/jobs/7649054,Growth Marketing Associate,remote,,US,PH,,,country_nonempty_changed;no_city_with_remote_hybrid
6854597002,https://job-boards.greenhouse.io/gomotive/jobs/6854597002,"Manager, Commercial Sales - Outbound",remote,,US,PK,,,country_nonempty_changed;no_city_with_remote_hybrid
8021088002,https://job-boards.greenhouse.io/gomotive/jobs/8021088002,Technical Support Eng- MM/CMRL,remote,,US,PK,,,country_nonempty_changed;no_city_with_remote_hybrid
8174963002,https://job-boards.greenhouse.io/gomotive/jobs/8174963002,"Sales Engineer, Commercial",remote,,US,PK,,,country_nonempty_changed;no_city_with_remote_hybrid
