country,count
US,7115
CA,1332
GB,983
IN,708
NY,449
DE,337
TX,286
MA,266
DC,259
VA,245
SG,241
ES,227
IL,199
WA,194
JP,182
AU,180
OH,178
PL,176
NL,163
FR,160
PA,122
MO,118
FL,113
CO,112
BR,104
MX,103
AZ,94
IE,93
TN,91
NC,91
TW,80
HK,74
MD,74
PK,65
GA,62
NJ,62
AE,62
AT,61
AL,60
SK,57
IT,56
MY,55
AR,52
PH,52
TH,49
UT,48
OR,47
CZ,47
BE,39
MI,37
CN,36
SE,35
CH,33
OK,33
KR,27
MN,27
PT,25
CR,24
ID,24
WI,23
CT,23
CY,22
AB,20
NH,20
RO,19
VN,19
ZA,18
GE,18
NV,17
ON,17
SA,16
BC,16
HU,16
BG,15
JO,15
HI,14
IA,12
SC,12
RW,12
NE,11
NP,11
LB,11
KS,10
EG,10
SD,9
MU,9
MS,8
NM,8
LA,7
PR,7
MT,7
RS,6
FI,6
KY,6
DK,5
SV,5
QC,5
NZ,4
CL,4
ME,4
NG,4
KE,4
MC,3
HR,3
TR,3
GR,3
EU,3
QA,3
VT,2
ND,2
AM,2
RI,2
WY,2
NO,2
UA,2
WF,1
GN,1
KW,1
GH,1
