normalized_title,count
other,6634
software_engineer,4789
account_executive,1087
sales_representative,891
operations_specialist,782
marketing_specialist,527
product_manager,516
consultant,484
technical_program_manager,350
account_manager,304
customer_success_manager,289
legal_counsel,275
business_development_representative,270
data_analyst,249
accountant,248
product_designer,182
data_scientist,175
technical_recruiter,171
data_engineer,165
solutions_architect,157
backend_engineer,128
site_reliability_engineer,118
ml_engineer,116
analytics_manager,114
it_support_specialist,112
fullstack_engineer,104
devops_engineer,102
business_analyst,97
analytics_engineer,83
financial_analyst,66
alliance_manager,65
hr_business_partner,54
analytics_director,43
frontend_engineer,35
implementation_consultant,32
systems_administrator,28
content_designer,21
general_application,20
enterprise_architect,18
hr_generalist,14
ml_scientist,12
corporate_development,11
chief_technology_officer,10
seo_specialist,8
industry_lead,8
office_administrator,7
business_intelligence_analyst,5
chief_revenue_officer,4
talent_analytics_specialist,4
hr_manager,4
business_intelligence_engineer,3
localization_intern,2
investment_analyst,2
healthcare_provider,1
operations_analyst,1
business_systems_analyst,1
implementation_coordinator,1
program_analyst,1
