country,count
US,7115
,3135
CA,1332
GB,983
IN,708
NY,449
DE,337
TX,286
MA,266
DC,259
VA,245
SG,241
ES,227
IL,199
WA,194
JP,182
AU,180
OH,178
PL,176
NL,163
FR,160
PA,122
MO,118
FL,113
CO,112
BR,104
MX,103
AZ,94
IE,93
TN,91
NC,91
TW,80
MD,74
HK,74
PK,65
NJ,62
GA,62
AE,62
AT,61
AL,60
SK,57
IT,56
MY,55
PH,52
AR,52
TH,49
UT,48
OR,47
CZ,47
BE,39
MI,37
CN,36
SE,35
OK,33
CH,33
MN,27
KR,27
PT,25
ID,24
CR,24
WI,23
CT,23
CY,22
NH,20
AB,20
VN,19
RO,19
ZA,18
GE,18
ON,17
NV,17
SA,16
HU,16
BC,16
JO,15
BG,15
HI,14
SC,12
RW,12
IA,12
NP,11
NE,11
LB,11
KS,10
EG,10
SD,9
MU,9
NM,8
MS,8
PR,7
MT,7
LA,7
RS,6
KY,6
FI,6
SV,5
QC,5
DK,5
NZ,4
NG,4
ME,4
KE,4
CL,4
TR,3
QA,3
MC,3
HR,3
GR,3
EU,3
WY,2
VT,2
UA,2
RI,2
NO,2
ND,2
AM,2
WF,1
KW,1
GN,1
GH,1
