normalized_title,count
other,6546
software_engineer,4778
account_executive,1087
sales_representative,875
operations_specialist,778
marketing_specialist,521
product_manager,512
consultant,484
technical_program_manager,350
account_manager,303
customer_success_manager,284
legal_counsel,274
business_development_representative,270
data_analyst,248
accountant,245
technical_recruiter,187
product_designer,186
data_scientist,175
data_engineer,165
solutions_architect,158
backend_engineer,128
site_reliability_engineer,118
ml_engineer,115
analytics_manager,114
chief_revenue_officer,114
it_support_specialist,112
fullstack_engineer,104
business_analyst,102
devops_engineer,102
analytics_engineer,83
financial_analyst,72
alliance_manager,66
hr_business_partner,53
analytics_director,38
frontend_engineer,35
implementation_consultant,32
systems_administrator,28
content_designer,24
general_application,20
enterprise_architect,18
hr_generalist,14
ml_scientist,12
corporate_development,11
chief_technology_officer,10
industry_lead,8
seo_specialist,8
office_administrator,7
business_intelligence_analyst,5
hr_manager,5
talent_analytics_specialist,4
business_intelligence_engineer,3
investment_analyst,2
localization_intern,2
business_systems_analyst,1
healthcare_provider,1
implementation_coordinator,1
operations_analyst,1
program_analyst,1
