normalized_title,count
software_engineer,528
other,174
account_executive,152
manager,144
consultant,142
sales_representative,87
business_analyst,61
marketing_specialist,57
product_manager,56
data_analyst,48
business_development_representative,40
backend_engineer,39
account_manager,35
data_engineer,32
operations_specialist,27
data_scientist,21
it_support_specialist,21
solutions_architect,20
product_designer,19
customer_success_manager,19
analytics_manager,18
fullstack_engineer,18
accountant,17
general_application,16
enterprise_architect,16
site_reliability_engineer,15
alliance_manager,14
operations_manager,13
technical_program_manager,13
ml_engineer,12
devops_engineer,12
technical_recruiter,11
financial_analyst,8
legal_counsel,8
hr_business_partner,8
ml_scientist,8
systems_administrator,7
analytics_engineer,6
chief_technology_officer,6
analytics_director,5
office_administrator,5
hr_generalist,5
implementation_consultant,4
talent_analytics_specialist,4
frontend_engineer,4
content_designer,4
industry_lead,4
seo_specialist,3
corporate_development,2
localization_intern,2
investment_analyst,2
healthcare_provider,1
operations_analyst,1
business_systems_analyst,1
implementation_coordinator,1
program_analyst,1
chief_revenue_officer,1
hr_manager,1
marketing_manager,1
