role_family,normalized_title
architecture,enterprise_architect
architecture,solutions_architect
backend,backend_engineer
business_analysis,business_analyst
business_analysis,business_systems_analyst
consulting,consultant
consulting,implementation_consultant
consulting,implementation_coordinator
customer_success,customer_success_manager
data_analytics,analytics_director
data_analytics,analytics_engineer
data_analytics,analytics_manager
data_analytics,business_intelligence_analyst
data_analytics,business_intelligence_engineer
data_analytics,data_analyst
data_engineering,data_engineer
data_science,data_scientist
design,content_designer
design,product_designer
devops,devops_engineer
executive_leadership,chief_revenue_officer
executive_leadership,chief_technology_officer
finance,accountant
finance,financial_analyst
finance,investment_analyst
healthcare,healthcare_provider
hr,hr_business_partner
hr,hr_generalist
hr,hr_manager
hr,talent_analytics_specialist
it_operations,it_support_specialist
it_operations,systems_administrator
legal,legal_counsel
machine_learning,ml_engineer
machine_learning,ml_scientist
marketing,marketing_specialist
marketing,seo_specialist
operations,localization_intern
operations,office_administrator
operations,operations_analyst
operations,operations_specialist
other,general_application
partnerships,alliance_manager
product_management,product_manager
program_management,program_analyst
program_management,technical_program_manager
recruiting,general_application
recruiting,technical_recruiter
sales,account_executive
sales,account_manager
sales,business_development_representative
sales,industry_lead
sales,sales_representative
software_engineering,backend_engineer
software_engineering,frontend_engineer
software_engineering,fullstack_engineer
software_engineering,software_engineer
sre,site_reliability_engineer
strategy,corporate_development
